title,content,category,difficulty,questions
"The Importance of Sleep","Sleep is very important for our health. When we sleep, our bodies rest and repair themselves.
Teenagers usually need about 8 to 10 hours of sleep every night. However, many students do not get enough sleep because of homework or playing games.
Lack of sleep can make us tired and grumpy. It is hard to listen in class when you are sleepy. It can also make us sick easily.
To get good sleep, we should go to bed at a regular time. We should also avoid looking at phone screens before bed. A quiet and dark room helps us sleep better.","Health","初中","[{""question"": ""Why is sleep important?"", ""options"": [""It is fun"", ""It wastes time"", ""Bodies rest and repair"", ""It makes dreams""], ""answer"": ""Bodies rest and repair"", ""explanation"": ""文章提到 our bodies rest and repair themselves。""}, {""question"": ""How much sleep do teenagers need?"", ""options"": [""5-6 hours"", ""6-8 hours"", ""8-10 hours"", ""10-12 hours""], ""answer"": ""8-10 hours"", ""explanation"": ""文章提到 8 to 10 hours of sleep。""}, {""question"": ""What causes students to not get enough sleep?"", ""options"": [""Eating too much"", ""Homework or games"", ""Exercise"", ""Reading""], ""answer"": ""Homework or games"", ""explanation"": ""文章提到 because of homework or playing games。""}, {""question"": ""What happens if we don't sleep enough?"", ""options"": [""We get smarter"", ""We get taller"", ""We get tired and grumpy"", ""We get happy""], ""answer"": ""We get tired and grumpy"", ""explanation"": ""文章提到 Lack of sleep can make us tired and grumpy。""}, {""question"": ""What should we avoid before bed?"", ""options"": [""Reading a book"", ""Drinking milk"", ""Looking at phone screens"", ""Taking a bath""], ""answer"": ""Looking at phone screens"", ""explanation"": ""文章提到 avoid looking at phone screens。""}]"
"Traditional Chinese Festivals","China has many traditional festivals. The most important one is the Spring Festival, also known as Chinese New Year. Families gather together to have a big dinner. We eat dumplings and fish. Children get red envelopes with money.
Another famous festival is the Mid-Autumn Festival. It is in autumn when the moon is full and bright. People eat mooncakes and admire the moon. It represents family reunion.
The Dragon Boat Festival is in summer. People race dragon boats on rivers. They also eat zongzi, which is sticky rice wrapped in bamboo leaves.
These festivals are a big part of Chinese culture. They help us remember our history and traditions.","Culture","初中","[{""question"": ""What is the most important festival in China?"", ""options"": [""Mid-Autumn Festival"", ""Spring Festival"", ""Dragon Boat Festival"", ""Lantern Festival""], ""answer"": ""Spring Festival"", ""explanation"": ""文章提到 The most important one is the Spring Festival。""}, {""question"": ""What do people eat during Spring Festival?"", ""options"": [""Mooncakes"", ""Zongzi"", ""Dumplings and fish"", ""Noodles""], ""answer"": ""Dumplings and fish"", ""explanation"": ""文章提到 We eat dumplings and fish。""}, {""question"": ""When is the Mid-Autumn Festival?"", ""options"": [""Spring"", ""Summer"", ""Autumn"", ""Winter""], ""answer"": ""Autumn"", ""explanation"": ""文章提到 It is in autumn。""}, {""question"": ""What do people do during Dragon Boat Festival?"", ""options"": [""Watch fireworks"", ""Race dragon boats"", ""Climb mountains"", ""Plant trees""], ""answer"": ""Race dragon boats"", ""explanation"": ""文章提到 People race dragon boats。""}, {""question"": ""Why are these festivals important?"", ""options"": [""They are holidays"", ""They are fun"", ""Remember history and traditions"", ""Get money""], ""answer"": ""Remember history and traditions"", ""explanation"": ""文章提到 help us remember our history and traditions。""}]"
"Saving Our Planet","Earth is our home, and we must take care of it. Pollution is a big problem. Factories and cars put bad smoke into the air. Plastic waste is filling up our oceans.
We can help save the planet in many ways. First, the 3Rs are important: Reduce, Reuse, and Recycle. We should use less plastic and paper. We can reuse bags and bottles. We should sort our trash for recycling.
Second, we can save energy. Turn off lights when you leave a room. Walk or ride a bike instead of taking a car.
Third, planting trees is very helpful. Trees clean the air and give us oxygen.
Small actions can make a big difference. Let's work together to keep Earth beautiful.","Nature","初中","[{""question"": ""What is a major problem mentioned?"", ""options"": [""Not enough cars"", ""Pollution"", ""Too many trees"", ""Cold weather""], ""answer"": ""Pollution"", ""explanation"": ""文章提到 Pollution is a big problem。""}, {""question"": ""What are the 3Rs?"", ""options"": [""Read, Write, Run"", ""Red, Rose, Red"", ""Reduce, Reuse, Recycle"", ""Rest, Relax, Repeat""], ""answer"": ""Reduce, Reuse, Recycle"", ""explanation"": ""文章提到 Reduce, Reuse, and Recycle。""}, {""question"": ""How can we save energy?"", ""options"": [""Leave lights on"", ""Drive everywhere"", ""Turn off lights"", ""Watch TV all day""], ""answer"": ""Turn off lights"", ""explanation"": ""文章提到 Turn off lights when you leave a room。""}, {""question"": ""Why are trees helpful?"", ""options"": [""They look nice"", ""They clean the air"", ""They are green"", ""They grow tall""], ""answer"": ""They clean the air"", ""explanation"": ""文章提到 Trees clean the air。""}, {""question"": ""What can small actions do?"", ""options"": [""Nothing"", ""Make a big difference"", ""Make things worse"", ""Be forgotten""], ""answer"": ""Make a big difference"", ""explanation"": ""文章提到 Small actions can make a big difference。""}]"
"The Benefits of Reading","Reading is a hobby that is both fun and useful. It opens up new worlds for us without leaving our chairs.
Through reading, we can learn about history, science, and different cultures. It increases our knowledge and vocabulary. The more you read, the better you write.
Reading also improves our imagination. When we read a story, we picture the characters and places in our minds. It is like watching a movie in your head.
Moreover, reading relaxes us. It reduces stress. After a long day of school, reading a good book is a great way to rest.
Make reading a habit. You will find it very rewarding.","Life","初中","[{""question"": ""Where can reading take us?"", ""options"": [""To school"", ""To the park"", ""New worlds"", ""To bed""], ""answer"": ""New worlds"", ""explanation"": ""文章提到 opens up new worlds for us。""}, {""question"": ""How does reading help writing?"", ""options"": [""It makes it harder"", ""The more you read, the better you write"", ""It doesn't help"", ""It makes handwriting better""], ""answer"": ""The more you read, the better you write"", ""explanation"": ""文章提到 The more you read, the better you write。""}, {""question"": ""What improves imagination?"", ""options"": [""Watching TV"", ""Sleeping"", ""Reading"", ""Eating""], ""answer"": ""Reading"", ""explanation"": ""文章提到 Reading also improves our imagination。""}, {""question"": ""How does reading affect stress?"", ""options"": [""Increases it"", ""Reduces it"", ""No effect"", ""Causes headache""], ""answer"": ""Reduces it"", ""explanation"": ""文章提到 It reduces stress。""}, {""question"": ""What advice does the writer give?"", ""options"": [""Stop reading"", ""Only read comic books"", ""Make reading a habit"", ""Read only for school""], ""answer"": ""Make reading a habit"", ""explanation"": ""文章提到 Make reading a habit。""}]"
"My Dream Job","Everyone has a dream job. My dream is to become a vet. I love animals very much, and I want to help them.
Vets are doctors for animals. When a dog or cat gets sick, the vet checks them and gives them medicine. Sometimes vets need to do surgery. It is a hard job but very meaningful.
To become a vet, I need to study hard. I need to be good at biology and chemistry. I also need to be patient and kind. Animals can be scared when they are sick, so I must stay calm.
I hope one day I can open my own animal clinic.","Life","初中","[{""question"": ""What is the writer's dream job?"", ""options"": [""Teacher"", ""Doctor"", ""Vet"", ""Artist""], ""answer"": ""Vet"", ""explanation"": ""文章提到 My dream is to become a vet。""}, {""question"": ""What do vets do?"", ""options"": [""Teach animals tricks"", ""Treat sick animals"", ""Sell animals"", ""Feed animals""], ""answer"": ""Treat sick animals"", ""explanation"": ""文章提到 When a dog or cat gets sick, the vet checks them。""}, {""question"": ""What subjects does the writer need to be good at?"", ""options"": [""Math and English"", ""History and Geogrpahy"", ""Biology and Chemistry"", ""Music and Art""], ""answer"": ""Biology and Chemistry"", ""explanation"": ""文章提到 good at biology and chemistry。""}, {""question"": ""What personality traits are needed?"", ""options"": [""Patient and kind"", ""Funny and loud"", ""Strict and angry"", ""Shy and quiet""], ""answer"": ""Patient and kind"", ""explanation"": ""文章提到 need to be patient and kind。""}, {""question"": ""What is the writer's future goal?"", ""options"": [""Work in a zoo"", ""Open an animal clinic"", ""Buying a farm"", ""Writing a book""], ""answer"": ""Open an animal clinic"", ""explanation"": ""文章提到 open my own animal clinic。""}]"
"Healthy Eating","""An apple a day keeps the doctor away."" This saying tells us that eating fruit is good for health. Healthy eating is very important for teenagers. Our bodies are growing, so we need good nutrition.
A healthy diet includes grains, vegetables, fruits, dairy, and meat. We should eat more vegetables and less fast food. Fast food has too much oil and sugar. It tastes good but makes us fat and unhealthy.
Breakfast is the most important meal of the day. It gives us energy for morning classes. DO NOT skip breakfast.
Drinking water is also key. Water helps our body work well. We should drink 6-8 glasses of water a day.
Start eating healthily today for a better tomorrow.","Health","初中","[{""question"": ""What does the saying about the apple mean?"", ""options"": [""Apples are cheap"", ""Doctors love apples"", ""Eating fruit is good for health"", ""Apples are magic""], ""answer"": ""Eating fruit is good for health"", ""explanation"": ""文章解释了谚语的含义。""}, {""question"": ""What should we eat less of?"", ""options"": [""Vegetables"", ""Fruit"", ""Fast food"", ""Grains""], ""answer"": ""Fast food"", ""explanation"": ""文章提到 We should eat ... less fast food。""}, {""question"": ""Which meal is most important?"", ""options"": [""Breakfast"", ""Lunch"", ""Dinner"", ""Snacks""], ""answer"": ""Breakfast"", ""explanation"": ""文章提到 Breakfast is the most important meal。""}, {""question"": ""Why is water important?"", ""options"": [""It is free"", ""It tastes sweet"", ""Helps body work well"", ""It is cold""], ""answer"": ""Helps body work well"", ""explanation"": ""文章提到 Water helps our body work well。""}, {""question"": ""How much water should we drink?"", ""options"": [""1-2 glasses"", ""3-4 glasses"", ""6-8 glasses"", ""10 glasses""], ""answer"": ""6-8 glasses"", ""explanation"": ""文章提到 6-8 glasses of water a day。""}]"
"Traveling","Traveling is a wonderful way to see the world. It allows us to meet new people and experience different cultures.
I went to Beijing last summer with my parents. We visited the Great Wall. It was very long and magnificent. We walked for a long time, but it was worth it.
We also went to the Forbidden City. It has so many old buildings. I learned a lot about history there.
The food in Beijing was delicious. I loved the Peking Duck.
Traveling opens our eyes. It teaches us things we cannot learn in books. I want to travel to more places in the future.","Life","初中","[{""question"": ""What is a benefit of traveling?"", ""options"": [""It costs money"", ""See the world"", ""Miss school"", ""Get tired""], ""answer"": ""See the world"", ""explanation"": ""文章提到 wonderful way to see the world。""}, {""question"": ""Where did the writer go last summer?"", ""options"": [""Shanghai"", ""Xi'an"", ""Beijing"", ""Guangzhou""], ""answer"": ""Beijing"", ""explanation"": ""文章提到 I went to Beijing last summer。""}, {""question"": ""How was the Great Wall described?"", ""options"": [""Small and short"", ""Long and magnificent"", ""New and shiny"", ""Boring""], ""answer"": ""Long and magnificent"", ""explanation"": ""文章提到 It was very long and magnificent。""}, {""question"": ""What did the writer learn in the Forbidden City?"", ""options"": [""Math"", ""Science"", ""History"", ""Cooking""], ""answer"": ""History"", ""explanation"": ""文章提到 I learned a lot about history there。""}, {""question"": ""What food did the writer love?"", ""options"": [""Dumplings"", ""Noodles"", ""Peking Duck"", ""Hot pot""], ""answer"": ""Peking Duck"", ""explanation"": ""文章提到 I loved the Peking Duck。""}]"
"Music in our Life","Music is a universal language. No matter where you are from, you can enjoy music. It brings people together.
There are many kinds of music: pop, rock, classical, jazz, and folk. Young people usually like pop music because it has a catchy beat. Older people might prefer classical music.
Music has the power to change our mood. When we are sad, a happy song can cheer us up. When we are excited, fast music makes us want to dance.
Listening to music can also help us focus. Some students listen to soft music while studying.
But we should be careful not to listen to music too loudly. It can hurt our ears.","Art","初中","[{""question"": ""Why is music called a universal language?"", ""options"": [""Everyone speaks it"", ""Everyone can enjoy it"", ""It is English"", ""It is easy""], ""answer"": ""Everyone can enjoy it"", ""explanation"": ""文章提到 No matter where you are from, you can enjoy music。""}, {""question"": ""What kind of music do young people usually like?"", ""options"": [""Classical"", ""Jazz"", ""Pop"", ""Folk""], ""answer"": ""Pop"", ""explanation"": ""文章提到 Young people usually like pop music。""}, {""question"": ""What can a happy song do?"", ""options"": [""Make us cry"", ""Make us sleep"", ""Cheer us up"", ""Make us angry""], ""answer"": ""Cheer us up"", ""explanation"": ""文章提到 a happy song can cheer us up。""}, {""question"": ""Why do some students listen to music while studying?"", ""options"": [""To sleep"", ""To dance"", ""To help focus"", ""To ignore others""], ""answer"": ""To help focus"", ""explanation"": ""文章提到 help us focus。""}, {""question"": ""Why should we not listen too loudly?"", ""options"": [""It is rude"", ""It uses battery"", ""It can hurt our ears"", ""It breaks the phone""], ""answer"": ""It can hurt our ears"", ""explanation"": ""文章提到 It can hurt our ears。""}]"
"The Internet","The Internet has changed our lives in many ways. It makes communication easier. We can chat with friends anytime, anywhere.
It is also a great tool for learning. We can search for information for our homework. We can take online courses to learn new skills.
However, there are dangers on the Internet too. We should not spend too much time on online games. It is bad for our eyes and grades.
Also, we must be careful about strangers. Never give personal information like phone numbers or addresses to people you don't know online.
Use the Internet wisely, and it will be a good friend.","Tech","初中","[{""question"": ""How has the Internet changed communication?"", ""options"": [""Harder"", ""Slower"", ""Easier"", ""More expensive""], ""answer"": ""Easier"", ""explanation"": ""文章提到 It makes communication easier。""}, {""question"": ""How helps with homework?"", ""options"": [""Does it for you"", ""Search for information"", ""Hides it"", ""Deletes it""], ""answer"": ""Search for information"", ""explanation"": ""文章提到 search for information for our homework。""}, {""question"": ""What is a negative effect of too much gaming?"", ""options"": [""Better eyes"", ""Better grades"", ""Bad for eyes and grades"", ""Make new friends""], ""answer"": ""Bad for eyes and grades"", ""explanation"": ""文章提到 It is bad for our eyes and grades。""}, {""question"": ""What warning is given about strangers?"", ""options"": [""Be friendly"", ""Meet them"", ""Never give personal info"", ""Give them money""], ""answer"": ""Never give personal info"", ""explanation"": ""文章提到 Never give personal information...""}, {""question"": ""What is the conclusion?"", ""options"": [""Don't use Internet"", ""Use it wisely"", ""It is scary"", ""It is useless""], ""answer"": ""Use it wisely"", ""explanation"": ""文章提到 Use the Internet wisely。""}]"
"Sports and Health","Doing sports is one of the best ways to keep healthy. It makes our heart strong and helps us lose weight.
There are many popular sports. Basketball is very popular in schools. It is a team sport. Players must work together to win. It teaches us teamwork.
Running is a simple sport. You just need a pair of good shoes. You can run in the park or on the street. It is good for your lungs.
Swimming is also excellent. It uses all parts of the body.
We should do sports at least three times a week. But remember to warm up before exercising to avoid injury.","Health","初中","[{""question"": ""What is a benefit of sports?"", ""options"": [""Makes heart strong"", ""Makes us tired only"", ""Wastes time"", ""Is expensive""], ""answer"": ""Makes heart strong"", ""explanation"": ""文章提到 It makes our heart strong。""}, {""question"": ""What does basketball teach?"", ""options"": [""Running"", ""Shooting"", ""Teamwork"", ""Fighting""], ""answer"": ""Teamwork"", ""explanation"": ""文章提到 It teaches us teamwork。""}, {""question"": ""What is needed for running?"", ""options"": [""A ball"", ""A bike"", ""Good shoes"", ""A pool""], ""answer"": ""Good shoes"", ""explanation"": ""文章提到 You just need a pair of good shoes。""}, {""question"": ""Why is swimming excellent?"", ""options"": [""It is wet"", ""Uses all body parts"", ""It is cold"", ""It is easy""], ""answer"": ""Uses all body parts"", ""explanation"": ""文章提到 It uses all parts of the body。""}, {""question"": ""What should we do before exercising?"", ""options"": [""Eat a lot"", ""Sleep"", ""Warm up"", ""Drink soda""], ""answer"": ""Warm up"", ""explanation"": ""文章提到 remember to warm up。""}]"
